DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
156.5,6.309,85.86,59.171,8.143,3.027,1.208,16.237,19.517,53.124,2.148,29.443,1.869
157,5.746,82.196,56.975,7.837,2.861,1.164,14.301,15.139,36.636,2.426,32.373,2.092
157.5,5.781,82.082,56.851,7.854,2.862,1.153,12.592,11.944,17.535,2.301,36.866,2.255
158,5.988,79.583,54.729,7.734,2.819,1.067,11.2,10.054,8.836,1.888,44.971,2.231
158.5,6.293,80.536,55.185,7.986,2.876,1.03,10.222,8.958,6.785,1.65,47.559,2.023
159,6.57,87.795,59.519,8.889,3.207,1.043,9.511,8.271,7.677,1.553,50.195,1.729
159.5,7.258,109.558,63.381,9.602,5.238,1.077,9.219,8.069,7.234,1.649,50.293,1.639
160,7.051,124.47,68.023,11.138,6.403,0.95,9.46,8.525,5.81,1.779,52.979,1.659
160.5,7.145,121.758,65.961,11.006,6.329,0.871,10.212,9.758,6.037,1.811,50.39,1.829
161,7.105,130.399,71.081,11.623,6.728,0.997,11.311,11.877,9.613,1.742,42.773,1.908
161.5,6.586,115.077,61.267,10.253,6.104,0.801,12.772,14.461,23.489,1.729,33.642,1.951
162,6.234,113.375,60.102,10.132,6.043,0.768,14.752,16.998,46.553,1.854,28.32,1.991
162.5,6.27,86.004,52.577,8.055,3.792,0.871,17.015,19.77,55.576,1.97,27.978,2.071
163,6.391,71.325,42.582,6.883,3.26,0.617,18.729,21.699,52.202,2.111,27.148,2.154
163.5,6.449,60.037,34.748,5.979,2.869,0.414,19.152,20.77,52.202,2.125,27.295,2.222
164,6.465,57.261,32.623,5.829,2.795,0.335,18.38,17.852,37.786,2.129,31.104,2.242
164.5,6.668,58.655,33.329,6.028,2.873,0.325,17.242,15.357,18.281,2.125,38.916,2.25
165,6.801,65.517,37.891,6.853,3.134,0.369,16.033,14.324,10.357,1.977,43.701,2.229
165.5,7.145,68.173,39.762,7.133,3.223,0.402,14.762,13.627,11.102,1.95,41.26,2.142
166,8.039,74.741,44.212,8.1,3.463,0.405,13.894,12.885,11.891,1.88,38.232,2.061
166.5,8.109,94.341,56.892,10.774,4.248,0.434,13.443,12.67,12.279,1.919,39.844,2.002
167,7.019,96.331,58.168,10.961,4.329,0.458,13.304,13.172,10.842,1.876,41.65,1.997
167.5,6.566,96.5,58.155,10.981,4.349,0.452,13.277,13.822,13.4,1.854,40.674,2.006
168,6.547,116.695,71.805,12.462,5.092,0.829,13.15,13.84,19.216,1.86,39.16,2.04
168.5,6.801,119.119,73.429,12.705,5.183,0.857,12.994,13.287,22.028,1.888,41.211,2.103
169,7.176,104.911,65.535,12.765,4.466,0.413,12.948,12.715,19.093,1.921,43.164,2.148
169.5,8.594,100.145,62.196,12.428,4.304,0.315,12.896,12.375,15.706,1.883,42.578,2.167
170,8.617,89.859,56.267,11.529,3.81,0.214,12.708,12.066,13.705,1.834,43.555,2.158
170.5,8.117,94.13,59.32,11.894,3.948,0.29,12.457,11.798,13.4,1.794,44.824,2.16
171,8.297,91.641,57.84,11.85,3.834,0.22,12.245,11.681,13.023,1.831,41.211,2.157
171.5,8.531,90.581,57.136,11.885,3.794,0.173,12.242,11.733,13.079,1.84,38.672,2.179
172,8.18,91.913,58,12.048,3.847,0.18,12.444,11.957,13.108,1.884,38.135,2.197
172.5,8.664,99.059,62.508,12.617,4.146,0.285,12.942,12.332,13.37,1.857,41.797,2.207
173,8.797,108.349,67.876,13.493,4.591,0.361,13.798,13.027,13.311,1.922,40.625,2.192
173.5,9.242,113.489,71.303,13.943,4.785,0.436,14.712,14.325,13.55,1.876,37.646,2.17
174,9.523,117.068,73.572,14.199,4.934,0.496,15.501,16.027,14.891,1.935,32.275,2.131
174.5,8.391,116.023,72.739,14.132,4.91,0.467,16.395,17.443,22.109,1.884,34.522,2.097
175,7.707,116.684,73.473,14.242,4.901,0.48,17.075,18.094,26.14,1.967,39.258,2.121
175.5,7.77,119.706,75.748,14.394,4.986,0.566,17.67,18.438,27.203,1.656,42.725,2.183
176,8.57,94.099,62.926,12.295,3.536,0.387,18.204,18.566,24.743,1.509,40.429,2.049
176.5,9.609,91.732,61.067,11.984,3.478,0.363,18.315,18.312,23.127,1.485,36.67,1.845
177,10.906,94.061,62.864,12.11,3.539,0.43,18.012,17.792,21.788,1.713,35.547,1.806
177.5,9.18,98.357,65.913,12.326,3.68,0.542,17.566,17.246,20.114,2.191,41.114,1.909
178,7.543,98.629,66.236,12.168,3.674,0.599,17.003,16.731,19.033,2.301,44.678,2.123
178.5,7.633,101.219,67.79,12.172,3.792,0.682,16.557,16.372,18.914,2.451,46.875,2.175
179,8.672,92.836,62.118,11.271,3.484,0.596,16.285,16.003,19.527,2.131,47.803,2.105
179.5,9.961,90.979,60.7,11.003,3.435,0.585,16.34,15.72,19.591,1.9,47.07,1.983
180,10.25,87.147,58.611,10.648,3.237,0.559,16.905,15.79,18.172,1.766,44.873,1.821
180.5,10.211,88.805,59.243,10.639,3.353,0.596,17.647,16.372,16.992,1.867,40.234,1.757
181,10.031,87.728,58.844,10.535,3.276,0.6,18.158,17.558,17.691,2.133,34.13,1.766
181.5,9.742,106.25,73.205,12.988,3.748,0.775,18.748,18.862,20.182,2.316,29.736,1.884
182,9.266,106.462,73.223,13.067,3.77,0.757,19.325,19.77,24.744,2.389,25.341,2.052
182.5,7.371,111.963,76.729,13.469,3.997,0.848,19.907,20.57,27.577,2.244,26.221,2.146
183,6.84,101.907,70.18,12.638,3.599,0.697,20.247,21.309,26.72,2.148,26.66,2.207
183.5,6.223,102.365,70.823,12.643,3.578,0.731,20.469,20.933,28.223,2.105,34.229,2.21
184,6.254,98.285,68.222,12.296,3.41,0.675,20.155,20.067,25.914,2.176,41.016,2.208
184.5,6.93,95.257,66.192,12,3.297,0.638,19.676,19.236,22.864,2.023,45.899,2.225
185,7.621,87.914,61.002,11.259,3.053,0.538,18.928,18.47,20.249,1.915,43.799,2.116
185.5,8.742,84.635,58.483,10.966,2.966,0.474,18.156,17.733,19.981,1.902,41.26,1.955
186,10.133,85.561,58.964,10.93,3.017,0.509,17.479,16.998,19.033,2.105,38.183,1.893
186.5,11.305,83.886,57.65,10.717,2.976,0.49,16.93,16.653,18.854,2.352,37.695,1.949
187,10.914,87.78,60.851,11.049,3.055,0.582,16.627,16.347,18.737,2.283,36.523,2.072
187.5,9.39,91.057,62.92,11.221,3.192,0.652,16.475,15.979,18.507,2.242,39.063,2.105
188,8.766,90.259,62.18,10.987,3.185,0.669,16.442,15.931,17.385,2.145,41.699,2.121
188.5,9.227,90.326,62.021,10.766,3.211,0.716,16.704,16.051,16.849,2.211,44.043,2.161
189,9.5,88.712,61.234,10.567,3.117,0.722,16.884,16.524,16.756,2.23,44.678,2.193
189.5,10.344,90.217,62.332,10.627,3.163,0.767,16.923,17.08,18.227,2.309,43.457,2.217
190,11.5,86.887,60.296,10.472,3.016,0.694,17.252,17.386,20.955,2.244,40.771,2.239
190.5,11.555,78.674,53.051,9.853,2.906,0.453,17.781,17.587,22.19,2.201,38.037,2.23
191,11.117,79.865,54.241,10.18,2.907,0.437,18.589,18.218,20.526,2.158,35.644,2.218
191.5,10.266,80.543,54.88,10.433,2.911,0.409,19.705,19.482,19.464,2.189,35.107,2.18
192,10.984,86.702,59.242,11.239,3.115,0.447,20.807,21.14,21.25,2.125,34.473,2.119
192.5,8.82,86.908,58.91,11.255,3.176,0.425,21.365,22.762,25.804,2.051,35.059,2.017
193,8.109,89.727,61.112,11.542,3.246,0.475,21.55,23.67,30.982,1.997,32.031,1.938
193.5,8.031,93.543,64.058,11.871,3.344,0.553,21.341,23.935,36.416,1.93,27.587,1.888
194,7.957,93.022,63.984,11.822,3.294,0.562,20.708,23.007,36.416,1.899,24.463,1.873
194.5,8.234,88.233,60.754,11.403,3.117,0.489,20.03,20.892,36.862,1.886,23.047,1.877
195,8.688,85.642,58.648,11.125,3.062,0.443,19.538,18.762,26.601,1.854,25.049,1.878
195.5,9.102,83.811,57.095,10.85,3.03,0.427,19.023,17.529,18.795,1.827,28.662,1.874
196,9.438,83.409,56.772,10.749,3.021,0.434,18.47,17.19,14.324,1.766,33.057,1.854
196.5,9.336,86.278,59.236,10.973,3.067,0.513,17.964,17.274,16.042,1.898,37.11,1.803
197,8,101.04,69.091,10.427,3.624,1.184,17.467,17.218,18.855,2.035,41.114,1.77
197.5,7.519,108.978,73.115,10.577,4.068,1.366,17.37,17.246,20.387,2.264,45.411,1.764
198,7.578,111.943,74.93,10.77,4.198,1.417,17.772,17.558,20.738,2.342,44.775,1.803
198.5,7.734,111.867,74.828,10.703,4.201,1.428,18.484,18.156,20.387,2.398,44.141,1.833
199,7.887,107.102,71.25,10.334,4.067,1.324,19.471,18.929,20.882,2.346,40.527,1.856
199.5,7.73,116.656,76.23,10.853,4.586,1.467,20.359,19.77,21.478,2.299,40.381,1.857
200,7.406,117.851,76.905,10.952,4.645,1.479,20.955,20.73,23.217,2.291,42.334,1.887
200.5,7.203,117.526,75.607,10.814,4.755,1.443,21.482,21.567,26.027,2.371,45.02,1.909
201,7.152,115.564,74.035,10.732,4.711,1.377,21.708,22.012,29.757,2.457,43.896,1.943
201.5,7.098,110.157,69.771,10.358,4.581,1.238,21.984,21.743,29.466,2.748,40.234,1.994
202,7.039,100.584,61.368,9.356,4.448,1.028,22.634,21.567,28.222,3.32,38.232,2.085
202.5,7.258,102.977,62.523,9.336,4.589,1.096,23.276,21.611,24.948,3.006,39.6,2.194
203,8.016,103.948,63.083,9.289,4.635,1.138,24.138,22.428,23.039,2.588,40.479,2.256
203.5,7.996,98.833,59.358,8.798,4.478,1.056,25.48,23.41,21.947,2.23,39.014,2.22
204,7.133,119.504,70.114,9.531,5.602,1.461,27.041,25.72,23.767,2.242,34.57,2.174
204.5,6.41,124.737,73.11,9.825,5.856,1.551,28.32,29.156,26.72,2.33,30.175,2.194
205,6.406,129.373,75.976,10.095,6.057,1.64,29.975,32.424,50.455,2.361,29.883,2.244
205.5,6.047,138.103,78.745,10.573,6.733,1.673,32.369,33.753,77.854,2.484,30.127,2.279
206,5.633,140.32,79.357,10.644,6.915,1.689,35.21,35.665,75.888,2.299,29.785,2.261
206.5,5.285,117.734,61.523,8.958,6.376,1.135,39.169,38.763,46.549,2.211,27.783,2.215
207,5.281,101.41,50.985,7.424,5.72,0.94,41.949,43.308,47.283,2.113,27.197,2.202
207.5,5.285,99.196,49.219,7.247,5.669,0.888,42.773,45.515,58.265,2.367,28.027,2.25
208,5.293,95.137,46.715,7.016,5.493,0.809,43.4,45.322,75.89,2.611,27.539,2.326
208.5,5.313,92.537,44.567,6.841,5.441,0.735,45.24,45.131,67.393,2.449,26.562,2.345
209,5.09,80.888,42.336,6.902,4.373,0.599,46.708,48.833,51.752,2.375,25.537,2.278
209.5,5.16,79.748,41.679,6.818,4.318,0.584,48.229,54.272,65.92,2.252,25,2.223
210,5.227,82.151,43.551,7.001,4.378,0.64,49.578,56.862,127.192,2.211,24.609,2.212
210.5,5.234,85.284,45.718,7.264,4.488,0.693,48.854,56.561,192.125,2.051,22.656,2.195
211,5.23,69.831,36.758,5.931,3.751,0.535,47.642,54.547,157.039,1.95,21.142,2.121
211.5,5.23,61.034,30.66,5.328,3.445,0.352,46.322,49.281,127.184,1.94,21.582,2.052
212,5.23,59.46,29.474,5.071,3.401,0.351,44.539,42.959,88.1,1.982,23.193,2.032
212.5,5.234,60.376,30.001,4.991,3.445,0.399,42.693,38.762,61.224,2.002,24.17,2.064
213,5.25,64.254,32.68,5.155,3.581,0.505,40.126,35.784,37.549,2.051,24.805,2.098
213.5,5.254,73.128,38.65,5.524,3.911,0.739,38.584,34.404,33.02,2.242,26.416,2.158
214,5.355,90.129,49.098,6.519,4.654,1.061,36.968,33.647,29.322,2.377,29.248,2.225
214.5,5.41,98.107,53.478,7.161,5.062,1.141,35.746,33.437,32.312,2.375,29.59,2.298
215,5.492,100.973,54.777,7.336,5.24,1.168,34.648,33.127,35.347,2.346,29.883,2.315
215.5,5.512,102.908,55.975,7.397,5.324,1.219,34.434,34.294,35.981,2.383,28.076,2.329
216,5.547,99.831,53.749,7.096,5.227,1.172,34.314,36.146,39.266,2.59,29.248,2.346
216.5,5.516,96.293,51.387,6.769,5.094,1.124,33.593,36.894,55.577,2.512,29.443,2.343
217,5.437,82.515,40.599,5.708,4.754,0.799,33.187,36.516,76.859,2.346,29.004,2.334
217.5,5.449,81.193,39.278,5.692,4.754,0.731,31.169,33.541,96.585,2.158,27.734,2.309
218,5.484,77.99,37.069,5.526,4.642,0.652,30.635,30.226,65.916,2.158,28.369,2.272
218.5,5.508,89.788,42.796,7.062,5.33,0.584,30.695,27.648,38.023,2.168,30.225,2.263
219,5.625,120.742,59.667,9.176,6.928,0.98,30.727,26.952,21.4,2.184,31.592,2.257
219.5,5.883,155.508,81.5,11.454,8.395,1.605,30.387,27.72,19.784,2.043,31.348,2.245
220,5.984,157.984,83.194,11.696,8.483,1.638,29.549,29.076,24.642,2.025,33.057,2.253
220.5,5.766,128.892,63.678,9.541,7.397,1.108,28.445,30.226,33.021,1.999,33.105,2.286
221,5.441,109.513,59.337,8.834,5.692,1.046,27.604,30.226,46.553,2.137,31.689,2.29
221.5,5.434,95.193,58.475,8.233,4.165,1.148,27.46,29.235,60.007,2.309,29.394,2.294
222,5.437,95.001,58.322,8.187,4.16,1.151,28.13,27.506,54.077,2.328,28.076,2.291
222.5,5.457,97.215,59.686,8.356,4.257,1.183,29.41,26.884,34.935,2.236,28.125,2.276
223,5.449,111.596,66.315,9.204,5.136,1.335,30.713,27.577,24.742,2.004,28.223,2.256
223.5,5.391,110.105,65.348,9.046,5.077,1.321,31.913,28.998,25.052,1.939,29.297,2.273
224,5.238,106.318,62.91,8.694,4.924,1.275,33.257,31.196,27.703,1.991,29.102,2.295
224.5,5.254,108.455,64.505,8.884,4.985,1.315,34.497,35.196,29.18,2.115,28.711,2.306
225,5.203,86.71,57.541,7.07,3.309,1.384,36.647,40.37,44.821,2.064,30.371,2.295
225.5,5.191,85.76,57.051,7.017,3.256,1.371,40.275,45.709,82.101,1.92,33.692,2.23
226,5.191,66.067,52.972,7.931,1.485,0.923,44.52,51.409,129.935,1.812,34.961,2.132
226.5,5.195,51.761,47.341,7.466,0.501,0.732,50.681,57.471,153.053,1.784,34.326,2.072
227,5.16,50.428,46.784,7.235,0.413,0.759,55.969,61.775,145.645,1.813,33.691,2.048
227.5,5.164,49.065,46.053,6.884,0.342,0.806,59.325,65.152,149.257,1.794,33.984,2.041
228,5.164,46.628,44.176,6.611,0.278,0.771,60.587,66.774,142.205,1.791,32.666,2.045
228.5,5.117,45.904,43.619,6.52,0.259,0.763,60.166,66.361,138.925,1.756,31.494,2.06
229,5.082,54.413,48.504,6.541,0.67,1.024,56.532,63.606,129.93,1.817,30.566,2.069
229.5,5.082,53.59,47.881,6.348,0.648,1.037,54.701,60.045,122.03,1.846,30.615,2.083
230,5.109,58.059,50.713,6.592,0.833,1.131,52.701,55.392,108.799,1.875,29.883,2.105
230.5,5.172,55.459,48.952,6.381,0.738,1.088,52.555,51.656,79.915,1.918,29.297,2.145
231,5.254,71.839,57.964,8.618,1.574,1.025,53.201,50.679,54.075,2.029,27.197,2.198
231.5,5.246,80.802,62.974,8.999,2.022,1.204,53.092,53.728,45.496,1.994,27.344,2.231
232,5.195,66.878,47.688,6.168,2.177,1.071,52.014,56.862,76.86,1.885,29.151,2.198
232.5,5.16,58.414,41.26,4.954,1.946,1.021,51.067,56.265,127.191,1.792,30.957,2.118
233,5.16,55.516,39.29,4.752,1.841,0.964,48.671,53.459,149.258,1.755,30.859,2.072
233.5,5.16,57.726,40.776,4.974,1.923,0.99,48.229,51.656,124.553,1.79,29.785,2.075
234,5.16,67.502,50.652,6.393,1.911,1.177,47.565,48.611,106.867,1.824,29.98,2.099
234.5,5.184,71.081,53.195,6.689,2.029,1.242,46.187,44.941,78.867,2.07,30.762,2.134
235,5.262,79.265,59.702,7.362,2.219,1.43,44.77,41.787,51.75,2.029,29.59,2.151
235.5,5.363,95.086,73.352,9.237,2.465,1.71,42.378,40.831,35.139,2.035,29.492,2.135
236,5.578,99.206,76.297,9.547,2.599,1.793,38.605,40.218,40.05,1.907,29.15,2.091
236.5,5.543,89.126,69.381,8.852,2.24,1.589,35.567,36.268,56.622,1.987,29.395,2.089
237,5.457,84.357,66.104,8.603,2.07,1.472,32.739,31.563,56.093,2.035,28.711,2.145
237.5,5.68,101.574,75.4,10.212,2.969,1.58,31.117,28.686,38.51,2.184,28.027,2.198
238,6,115.142,83.703,10.321,3.566,2.005,30.266,27.088,26.138,2.223,27.49,2.244
238.5,6.27,104.715,75.406,9.398,3.325,1.782,29.498,26.55,23.766,2.248,29.346,2.26
239,6.352,109.688,78.381,9.646,3.551,1.882,28.257,26.616,25.369,2.16,31.201,2.25
239.5,6.234,112.222,79.822,9.743,3.675,1.937,28.184,26.616,28.091,2.141,32.813,2.238
240,6.004,102.696,71.809,8.753,3.504,1.745,28.107,26.816,29.466,2.16,32.324,2.241
240.5,5.871,101.368,70.824,8.536,3.465,1.745,28.627,27.648,29.466,2.148,30.664,2.271
241,5.664,106.347,74.175,8.727,3.649,1.88,30.151,29.558,28.091,2.152,29.639,2.272
241.5,5.582,100.667,70.175,8.21,3.459,1.79,31.23,31.941,29.039,2.145,29.785,2.27
242,5.387,91.806,63.371,7.211,3.225,1.667,32.007,34.076,43.842,2.098,29.932,2.255
242.5,5.285,80.087,49.936,5.995,3.42,1.236,31.997,34.294,71.393,2.061,29.59,2.232
243,5.363,77.058,47.722,5.794,3.328,1.165,32.293,33.024,82.098,1.981,27.734,2.19
243.5,5.418,77.434,47.677,5.863,3.375,1.146,34.469,31.195,58.83,2.031,27.832,2.177
244,5.516,86.797,53.594,6.672,3.766,1.268,36.956,32.229,34.141,2.006,27.93,2.205
244.5,5.465,79.399,48.515,6.221,3.503,1.103,38.484,36.642,26.253,1.922,29.59,2.235
245,5.203,78.521,48.036,6.281,3.458,1.062,39.154,40.832,49.624,1.822,31.25,2.225
245.5,5.207,78.84,48.33,6.411,3.461,1.046,39.43,42.789,78.874,1.85,31.787,2.191
246,5.203,86.68,53.572,7.322,3.755,1.106,40.275,44.019,95.06,1.896,33.057,2.162
246.5,5.199,83.659,51.483,7.228,3.65,1.016,44.245,43.839,82.096,1.922,32.812,2.139
247,5.203,77.487,47.494,6.873,3.402,0.886,49.52,45.709,63.82,1.927,32.568,2.14
247.5,5.199,84.613,52.214,7.426,3.675,1.007,53.781,51.409,45.153,1.898,31.445,2.156
248,5.203,74.086,45.123,6.664,3.285,0.809,57.551,60.384,60.612,1.776,32.373,2.172
248.5,5.203,40.542,21.479,2.1,2.162,0.65,59.614,65.152,110.809,1.64,32.617,2.126
249,5.203,30.957,13.299,0.871,2.003,0.508,60.393,67.192,180.603,1.575,32.568,2.063
249.5,5.203,31.773,13.743,1.022,2.045,0.495,62.745,68.479,175.334,1.703,31.299,2.034
250,5.199,46.456,25.561,3.466,2.37,0.535,69.285,71.682,149.253,1.748,32.129,2.052
250.5,5.203,46.353,25.272,3.579,2.391,0.491,72.569,74.676,132.795,1.792,32.08,2.063
251,5.203,43.842,23.014,3.324,2.362,0.431,75.819,77.93,129.931,1.657,33.252,2.067
251.5,5.199,40.102,20.17,3.037,2.261,0.347,78.268,80.867,132.797,1.685,31.885,2.066
252,5.203,39.525,19.305,3.048,2.294,0.298,77.684,81.48,142.207,1.703,31.103,2.062
252.5,5.199,41.11,20.281,3.133,2.363,0.33,78.268,82.737,149.257,1.749,29.199,2.06
253,5.195,43.629,21.643,3.227,2.494,0.38,78.297,82.103,157.043,1.71,31.348,2.055
253.5,5.195,36.153,16.157,2.604,2.268,0.236,77.684,84.033,161.249,1.624,31.982,2.052
254,5.195,29.811,12.654,1.826,1.946,0.237,79.16,84.696,161.248,1.615,32.178,2.049
254.5,5.191,26.99,11.041,1.63,1.809,0.198,78.801,84.696,157.042,1.603,29.785,2.051
255,5.156,29.521,13.137,2.024,1.858,0.215,78.712,84.696,153.05,1.66,30.762,2.048
255.5,5.141,32.04,15.011,2.234,1.932,0.265,78.712,85.369,145.645,1.698,29.248,2.054
256,5.145,33.36,16.311,2.39,1.934,0.297,79.16,82.737,145.646,1.733,30.908,2.059
256.5,5.145,30.559,14.623,2.321,1.808,0.222,78.121,82.104,145.646,1.74,30.469,2.064
257,5.141,29.758,14.39,2.316,1.743,0.211,77.917,82.104,145.646,1.677,31.592,2.059
257.5,5.137,35.062,18.439,2.933,1.886,0.279,77.138,81.48,145.646,1.646,30.762,2.058
258,5.137,34.336,18.375,3.061,1.81,0.244,75.846,81.48,145.646,1.622,31.445,2.057
258.5,5.137,34.022,18.698,3.097,1.738,0.252,74.171,78.5,149.256,1.633,32.373,2.056
259,5.133,36.017,20.474,3.244,1.763,0.313,72.493,76.268,145.646,1.626,32.471,2.061
259.5,5.137,26.343,16.621,2.789,1.103,0.215,72.62,74.159,135.792,1.606,30.859,2.058
260,5.137,36.988,23.585,3.174,1.52,0.499,71.571,72.653,124.555,1.636,29.541,2.063
260.5,5.105,33.249,20.977,3.009,1.392,0.398,71.62,75.73,115.036,1.638,30.127,2.068
